ISA|00|          |00|          |ZZ|VIDA           |ZZ|DCG            |260708|1500|U|00401|003264067|0|P|>
GS|AR|VIDA|DCG|20260708|1500|3264065|X|004010
ST|943|0001
W06|F|S01525-3|20260708|S01525-3|||||||PO
N1|WH|801
PER|WH|801
N9|KK|001
N9|SI|OOCU7244490
N9|ZA|SZF
G62|17|20260912
W04|5136|EA||VN|DL400828AC4B|IT|DL400828|CA|||CHO1|000001||IZ|AC4
G69|ANSWERS
N9|CH|JCPRET
N9|CO|1090243
N9|DI|Chinese Laundry
N9|DV|0195
N9|GM|00007564200024632467|12
N9|GM|00007564200024632474|12
N9|GM|00007564200024632481|12
N9|GM|00007564200024632498|12
N9|GM|00007564200024632504|12
N9|GM|00007564200024632511|12
N9|GM|00007564200024632528|12
N9|GM|00007564200024632535|12
N9|GM|00007564200024632542|12
N9|GM|00007564200024632559|12
N9|GM|00007564200024632566|12
N9|GM|00007564200024632573|12
N9|GM|00007564200024632580|12
N9|GM|00007564200024632597|12
N9|GM|00007564200024632603|12
N9|GM|00007564200024632610|12
N9|GM|00007564200024632627|12
N9|GM|00007564200024632634|12
N9|GM|00007564200024632641|12
N9|GM|00007564200024632658|12
N9|GM|00007564200024632665|12
N9|GM|00007564200024632672|12
N9|GM|00007564200024632689|12
N9|GM|00007564200024632696|12
N9|GM|00007564200024632702|12
N9|GM|00007564200024632719|12
N9|GM|00007564200024632726|12
N9|GM|00007564200024632733|12
N9|GM|00007564200024632740|12
N9|GM|00007564200024632757|12
N9|GM|00007564200024632764|12
N9|GM|00007564200024632771|12
N9|GM|00007564200024632788|12
N9|GM|00007564200024632795|12
N9|GM|00007564200024632801|12
N9|GM|00007564200024632818|12
N9|GM|00007564200024632825|12
N9|GM|00007564200024632832|12
N9|GM|00007564200024632849|12
N9|GM|00007564200024632856|12
N9|GM|00007564200024632863|12
N9|GM|00007564200024632870|12
N9|GM|00007564200024632887|12
N9|GM|00007564200024632894|12
N9|GM|00007564200024632900|12
N9|GM|00007564200024632917|12
N9|GM|00007564200024632924|12
N9|GM|00007564200024632931|12
N9|GM|00007564200024632948|12
N9|GM|00007564200024632955|12
N9|GM|00007564200024632962|12
N9|GM|00007564200024632979|12
N9|GM|00007564200024632986|12
N9|GM|00007564200024632993|12
N9|GM|00007564200024633006|12
N9|GM|00007564200024633013|12
N9|GM|00007564200024633020|12
N9|GM|00007564200024633037|12
N9|GM|00007564200024633044|12
N9|GM|00007564200024633051|12
N9|GM|00007564200024633068|12
N9|GM|00007564200024633075|12
N9|GM|00007564200024633082|12
N9|GM|00007564200024633099|12
N9|GM|00007564200024633105|12
N9|GM|00007564200024633112|12
N9|GM|00007564200024633129|12
N9|GM|00007564200024633136|12
N9|GM|00007564200024633143|12
N9|GM|00007564200024633150|12
N9|GM|00007564200024633167|12
N9|GM|00007564200024633174|12
N9|GM|00007564200024633181|12
N9|GM|00007564200024633198|12
N9|GM|00007564200024633204|12
N9|GM|00007564200024633211|12
N9|GM|00007564200024633228|12
N9|GM|00007564200024633235|12
N9|GM|00007564200024633242|12
N9|GM|00007564200024633259|12
N9|GM|00007564200024633266|12
N9|GM|00007564200024633273|12
N9|GM|00007564200024633280|12
N9|GM|00007564200024633297|12
N9|GM|00007564200024633303|12
N9|GM|00007564200024633310|12
N9|GM|00007564200024633327|12
N9|GM|00007564200024633334|12
N9|GM|00007564200024633341|12
N9|GM|00007564200024633358|12
N9|GM|00007564200024633365|12
N9|GM|00007564200024633372|12
N9|GM|00007564200024633389|12
N9|GM|00007564200024633396|12
N9|GM|00007564200024633402|12
N9|GM|00007564200024633419|12
N9|GM|00007564200024633426|12
N9|GM|00007564200024633433|12
N9|GM|00007564200024633440|12
N9|GM|00007564200024633457|12
N9|GM|00007564200024633464|12
N9|GM|00007564200024633471|12
N9|GM|00007564200024633488|12
N9|GM|00007564200024633495|12
N9|GM|00007564200024633501|12
N9|GM|00007564200024633518|12
N9|GM|00007564200024633525|12
N9|GM|00007564200024633532|12
N9|GM|00007564200024633549|12
N9|GM|00007564200024633556|12
N9|GM|00007564200024633563|12
N9|GM|00007564200024633570|12
N9|GM|00007564200024633587|12
N9|GM|00007564200024633594|12
N9|GM|00007564200024633600|12
N9|GM|00007564200024633617|12
N9|GM|00007564200024633624|12
N9|GM|00007564200024633631|12
N9|GM|00007564200024633648|12
N9|GM|00007564200024633655|12
N9|GM|00007564200024633662|12
N9|GM|00007564200024633679|12
N9|GM|00007564200024633686|12
N9|GM|00007564200024633693|12
N9|GM|00007564200024633709|12
N9|GM|00007564200024633716|12
N9|GM|00007564200024633723|12
N9|GM|00007564200024633730|12
N9|GM|00007564200024633747|12
N9|GM|00007564200024633754|12
N9|GM|00007564200024633761|12
N9|GM|00007564200024633778|12
N9|GM|00007564200024633785|12
N9|GM|00007564200024633792|12
N9|GM|00007564200024633808|12
N9|GM|00007564200024633815|12
N9|GM|00007564200024633822|12
N9|GM|00007564200024633839|12
N9|GM|00007564200024633846|12
N9|GM|00007564200024633853|12
N9|GM|00007564200024633860|12
N9|GM|00007564200024633877|12
N9|GM|00007564200024633884|12
N9|GM|00007564200024633891|12
N9|GM|00007564200024633907|12
N9|GM|00007564200024633914|12
N9|GM|00007564200024633921|12
N9|GM|00007564200024633938|12
N9|GM|00007564200024633945|12
N9|GM|00007564200024633952|12
N9|GM|00007564200024633969|12
N9|GM|00007564200024633976|12
N9|GM|00007564200024633983|12
N9|GM|00007564200024633990|12
N9|GM|00007564200024634003|12
N9|GM|00007564200024634010|12
N9|GM|00007564200024634027|12
N9|GM|00007564200024634034|12
N9|GM|00007564200024634041|12
N9|GM|00007564200024634058|12
N9|GM|00007564200024634065|12
N9|GM|00007564200024634072|12
N9|GM|00007564200024634089|12
N9|GM|00007564200024634096|12
N9|GM|00007564200024634102|12
N9|GM|00007564200024634119|12
N9|GM|00007564200024634126|12
N9|GM|00007564200024634133|12
N9|GM|00007564200024634140|12
N9|GM|00007564200024634157|12
N9|GM|00007564200024634164|12
N9|GM|00007564200024634171|12
N9|GM|00007564200024634188|12
N9|GM|00007564200024634195|12
N9|GM|00007564200024634201|12
N9|GM|00007564200024634218|12
N9|GM|00007564200024634225|12
N9|GM|00007564200024634232|12
N9|GM|00007564200024634249|12
N9|GM|00007564200024634256|12
N9|GM|00007564200024634263|12
N9|GM|00007564200024634270|12
N9|GM|00007564200024634287|12
N9|GM|00007564200024634294|12
N9|GM|00007564200024634300|12
N9|GM|00007564200024634317|12
N9|GM|00007564200024634324|12
N9|GM|00007564200024634331|12
N9|GM|00007564200024634348|12
N9|GM|00007564200024634355|12
N9|GM|00007564200024634362|12
N9|GM|00007564200024634379|12
N9|GM|00007564200024634386|12
N9|GM|00007564200024634393|12
N9|GM|00007564200024634409|12
N9|GM|00007564200024634416|12
N9|GM|00007564200024634423|12
N9|GM|00007564200024634430|12
N9|GM|00007564200024634447|12
N9|GM|00007564200024634454|12
N9|GM|00007564200024634461|12
N9|GM|00007564200024634478|12
N9|GM|00007564200024634485|12
N9|GM|00007564200024634492|12
N9|GM|00007564200024634508|12
N9|GM|00007564200024634515|12
N9|GM|00007564200024634522|12
N9|GM|00007564200024634539|12
N9|GM|00007564200024634546|12
N9|GM|00007564200024634553|12
N9|GM|00007564200024634560|12
N9|GM|00007564200024634577|12
N9|GM|00007564200024634584|12
N9|GM|00007564200024634591|12
N9|GM|00007564200024634607|12
N9|GM|00007564200024634614|12
N9|GM|00007564200024634621|12
N9|GM|00007564200024634638|12
N9|GM|00007564200024634645|12
N9|GM|00007564200024634652|12
N9|GM|00007564200024634669|12
N9|GM|00007564200024634676|12
N9|GM|00007564200024634683|12
N9|GM|00007564200024634690|12
N9|GM|00007564200024634706|12
N9|GM|00007564200024634713|12
N9|GM|00007564200024634720|12
N9|GM|00007564200024634737|12
N9|GM|00007564200024634744|12
N9|GM|00007564200024634751|12
N9|GM|00007564200024634768|12
N9|GM|00007564200024634775|12
N9|GM|00007564200024634782|12
N9|GM|00007564200024634799|12
N9|GM|00007564200024634805|12
N9|GM|00007564200024634812|12
N9|GM|00007564200024634829|12
N9|GM|00007564200024634836|12
N9|GM|00007564200024634843|12
N9|GM|00007564200024634850|12
N9|GM|00007564200024634867|12
N9|GM|00007564200024634874|12
N9|GM|00007564200024634881|12
N9|GM|00007564200024634898|12
N9|GM|00007564200024634904|12
N9|GM|00007564200024634911|12
N9|GM|00007564200024634928|12
N9|GM|00007564200024634935|12
N9|GM|00007564200024634942|12
N9|GM|00007564200024634959|12
N9|GM|00007564200024634966|12
N9|GM|00007564200024634973|12
N9|GM|00007564200024634980|12
N9|GM|00007564200024634997|12
N9|GM|00007564200024635000|12
N9|GM|00007564200024635017|12
N9|GM|00007564200024635024|12
N9|GM|00007564200024635031|12
N9|GM|00007564200024635048|12
N9|GM|00007564200024635055|12
N9|GM|00007564200024635062|12
N9|GM|00007564200024635079|12
N9|GM|00007564200024635086|12
N9|GM|00007564200024635093|12
N9|GM|00007564200024635109|12
N9|GM|00007564200024635116|12
N9|GM|00007564200024635123|12
N9|GM|00007564200024635130|12
N9|GM|00007564200024635147|12
N9|GM|00007564200024635154|12
N9|GM|00007564200024635161|12
N9|GM|00007564200024635178|12
N9|GM|00007564200024635185|12
N9|GM|00007564200024635192|12
N9|GM|00007564200024635208|12
N9|GM|00007564200024635215|12
N9|GM|00007564200024635222|12
N9|GM|00007564200024635239|12
N9|GM|00007564200024635246|12
N9|PO|SCL BULK-JCP
N9|ZZ|12
SE|445|0001
GE|1|3264065
IEA|1|003264067
